Embedding,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
PCA,0.67440516,0.7209280847566009,0.5230544575845516,0.62266463,1.0,0.69161946,0.0558017,0.19571243624716664,0.9218170025435038,0,0.37299011684596367,0.7082104682922363,0.5741223277137273
scVI,0.6101794,0.645140778444049,0.37240661538843617,0.54846066,1.0,0.85604703,0.18671314,0.3165627971546598,0.9328207847095666,0,0.4584287431215025,0.6352375030517579,0.5645139990796557
scGPT (zero-shot),0.62697214,0.6571572693691188,0.38453197716495136,0.59664327,1.0,0.74198824,0.11544909,0.24564526630181405,0.9199670110408504,0,0.4046099179891323,0.6530609130859375,0.5536805150472154
scGPT (fine-tuned),0.7088135,0.6625307860365358,0.3781491268773454,0.601662,1.0,0.72889346,0.15968104,0.31339697718890513,0.9312880019598357,0,0.4266518920318356,0.6702311038970947,0.5727994191509911
Geneformer,0.5730618,0.5767669963519086,0.3916033571763082,0.5482654,1.0,0.7919102,0.0848917,0.22098440784745754,0.9034479249485995,0,0.4002468362415234,0.6179395198822022,0.5308624464259306
scFoundation,0.6235779,0.6462609911663777,0.3789406604812457,0.58788085,1.0,0.7105263,0.061539482,0.17289320703986333,0.9207018623122022,0,0.3731321656114409,0.6473320960998535,0.5376521239044885
cellPLM,0.6149578,0.678054821337651,0.446157771160805,0.5917641,1.0,0.72686005,0.11145401,0.2263885021321376,0.9295325167889756,0,0.39884701506351955,0.6661869049072265,0.5592509489697437
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
